,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
60,Our Family Wedding,103,PG-13,2010-03-12,Rick Famuyiwa,"Forest Whitaker, America Ferrera, Lance Gross, Carlos Mencia, Regina King","""Our marriage, their wedding."" It's lesson number one for any newly engaged couple, and Lucia and Marcus are no exception. In Our Family Wedding, they learn the hard way that the path to saying ""I do"" can be rife with familial strife. When they return from college and too suddenly announce their marriage plans, they soon discover that their fathers - two highly competitive over-the-top egos - can wreak a major amount of havoc on their special day. With insults flying and tempers running high, it's anyone's guess if the alpha dads will survive to make it down the aisle in one piece. Lucia's mother is busy planning the wedding of ""her"" dreams and the only levelheaded one in the bunch is Angela, the groom's father's best friend and lawyer, who manages to keep her cool when the madness reaches a crescendo. With only weeks to plan their wedding, Lucia and Marcus soon discover the true meaning of love and find there is truth to the saying - that when you marry someone, you marry their entire family."
61,Paranormal Activity 2,91,R,2010-10-22,Tod Williams,"Katie Featherston, Micah Sloat, Brian Boland, Molly Ephraim, Sprague Grayden","After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem."
62,Piranha 3-D,89,R,2010-08-20,Alexandre Aja,"Adam Scott, Elisabeth Shue, Jerry O'Connell, Ving Rhames, Jessica Szohr","Lake Victoria's annual Spring party by 50,000 young revelers is about to turn into a feeding frenzy with prehistoric hunger-pains. With knee-trembler's above the waves and tremors below, released from their dormant sleep, thousands upon thousands of flesh-eating nippers are released into the lake with whetted appetites and razor-sharp teeth. With a motley crew of strangers thrown together to defend these shores, it is now up to them to prevent the largest eat-out in human, and piranha, history."
63,Predators,107,R,2010-07-09,Nimrod Antal,"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins, Oleg Taktarov","The mercenary Royce; the military Isabelle; the Russian soldier Nikolai; the San Quentin criminal Stans; the Sierra Leone militia Mombasa; the drug lord Cuchillo; the Yakuza Hanzo; and the Doctor Edwin awake in free fall but they succeed to open their parachutes landing in a jungle. Soon they discover that they are on another planet and they are prey of aliens in a deadly hunting game, and they need to join forces to destroy their predators and survive."
64,Princess Ka'iulani,97,PG,2010-05-14,Marc Forby,"Q'Orianka Kilcher, Barry Pepper, Shaun Evans, Jimmy Yuill, Will Patton","Inspired by true events. Princess Ka'iulani is the daughter of a Hawaiian princess and a Scottish businessman. As a teenager, she is sent to England to be educated, but after the death of her uncle King Kalakaua and the accession of her aunt Queen Liliu'okalani, Ka'iulani becomes the next heir to the throne‎ The possibility of U.S. annexation is looming and the rights of her people are threatened. Ka'iulani is torn between life in England with handsome young suitor Clive Davies or returning to her beloved Hawai'i."
65,[Rec] 2,84,R,2010-07-09,"Paca Plaza, Jaume Balaguero","Jonathan Mellor, Oscar Sanchez Zafra, Ariel Casas, Alejandro Casaseca, Pablo Rosso","The medical Dr. Owen leads a three-men SWAT team inside the sealed off building to get blood sample from the girl Medeiros to develop an antidote. They are attacked by the zombie-like creatures and Dr. Owen locks a zombie inside a room using a crucifix. He discloses that the patient zero was possessed by the evil and the Vatican sent him to save mankind. Further, they will only leave the building under his voice command. Meanwhile, three teenagers follow a fireman and a man that breaks into the building through the sewage system to rescue his colleague and daughter respectively and they are trapped inside. They are lured and release the evil creature that was locked by Dr. Owen in a room. Out of the blue, the lead team meets the journalist Ângela Vidal hidden inside the building."
66,Rabbit Hole,91,PG-13,2010-12-17,John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Tammy Blanchard, Miles Teller","Becca and Howie Corbett are a happily married couple whose perfect world is forever changed when their young son, Danny, is killed by a car. Becca, an executive-turned-stay-at-home mother, tries to redefine her existence in a surreal landscape of well-meaning family and friends. Painful, poignant, and often funny, Becca's experiences lead her to find solace in a mysterious relationship with a troubled young comic-book artist, Jason - the teenage driver of the car that killed Danny. Becca's fixation with Jason pulls her away from memories of Danny, while Howie immerses himself in the past, seeking refuge in outsiders who offer him something Becca is unable to give. The Corbetts, both adrift, make surprising and dangerous choices as they choose a path that will determine their fate."
67,Red,111,PG-13,2010-10-15,Robert Schwentke,"Bruce Willis, Morgan Freeman, John Malkovich, Helen Mirren, Karl Urban","Frank (Bruce Willis) is retired, bored and lonely living off his government pension in a nondescript suburb in an equally nondescript house. The only joy in Frank's life are his calls to the government pension processing center when he gets to talk to his case worker Sarah (Mary-Louis Parker). Sarah is as bored and lonely as Frank and marks her conversations with the unknown Frank and her spy novels as the only things fun in her life. When something in Frank's past forces Frank back into his old line of work and puts an unwitting Sarah in the middle of the intrigue, Frank and Sarah begin a journey into Frank's past and the people he used to work with. Like Frank they are all RED ... Retired Extremely Dangerous."
68,Remember Me,112,PG-13,2010-03-12,Allen Coulter,"Robert Pattinson, Emilie De Ravin, Chris Cooper, Pierce Brosnan, Lena Olin","A romantic drama set in New York City during the summer of 2001, where Tyler, a rebellious young man, meets Ally through a twist of fate. Her spirit helps him heal after a family tragedy, though soon the circumstances that brought them together threaten to tear them apart."
69,Repo Men,119,R,2010-03-19,Miguel Sapochnik,"Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber, Carice van Houten","In the future humans have extended and improved our lives through highly sophisticated and expensive mechanical organs created by a company called ""The Union"". The dark side of these medical breakthroughs is that if you don't pay your bill, ""The Union"" sends its highly skilled repo men to take back its property... with no concern for your comfort or survival. Former soldier Remy is one of the best organ repo men in the business. But when he suffers a cardiac failure on the job, he awakens to find himself fitted with the company's top-of-the-line heart-replacement... as well as a hefty debt. But a side effect of the procedure is that his heart's no longer in the job. When he can't make the payments, The Union sends its toughest enforcer, Remy's former partner Jake, to track him down."
70,Restrepo,93,R,2010-06-25,"Sebastian Junger, Tim Hetherington","Dan Kearney, Lamonta Caldwell, Kevin Rice, Misha C. Pemble-Belkin, Kyle M. Steiner",A year with one platoon in the deadliest valley in Afghanistan.
71,Robin Hood,148,PG-13,2010-05-14,Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
72,Saint John of Las Vegas,85,R,2010-01-29,Hue Rhodes,"Steve Buscemi, Romany Malco, Peter Dinklage, Sarah Silverman, Emmanuelle Chriqui",An ex-gambler is lured back into the game by a veteran insurance-fraud investigator.
73,Salt,100,PG-13,2010-07-23,Phillip Noyce,"Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl, Angelina Jolie","Evelyn Salt is a CIA agent and highly respected by all, including her boss, Ted Winter. Out of the blue, a Russian spy walks into their offices and offers a vital piece of information: the President of Russia will be assassinated during his forthcoming visit to New York City to attend the funeral of the recently deceased U.S. Vice President. The name of the assassin: Evelyn Salt. Concerned about the safety of her husband, who she cannot contact, she goes on the run. Winter refuses to accept that she is a mole or a double agent but her actions begin to raise doubts. Just who is Evelyn Salt and what is she planning?"
74,Scott Pilgrim vs. the World,113,PG-13,2010-08-13,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick","Scott Pilgrim plays in a band which aspires to success. He dates Knives Chau, a high-school girl five years younger, and he hasn't recovered from being dumped by his former girlfriend, now a success with her own band. When Scott falls for Ramona Flowers, he has trouble breaking up with Knives and tries to romance Ramona. As if juggling two women wasn't enough, Ramona comes with baggage: seven ex-lovers, with each of whom Scott must do battle to the death in order to win Ramona."
75,Secretariat,116,PG,2010-10-08,Randall Wallace,"Diane Lane, John Malkovich, Dylan Walsh, Dylan Baker, Margo Martindale","Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery -- with the help of veteran trainer Lucien Laurin -- manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in twenty-five years."
